provincia,day,prediccion_precip,predicted_date
Valladolid,2,1,2025-02-27
Valladolid,3,0,2025-02-28
Valladolid,4,0,2025-03-01
Valladolid,5,1,2025-03-02
Valladolid,6,1,2025-03-03
Valladolid,7,1,2025-03-04
Vizcaya,1,1,2025-02-25
Vizcaya,2,1,2025-02-26
Vizcaya,3,1,2025-02-27
Vizcaya,4,1,2025-02-28
Vizcaya,5,1,2025-03-01
Vizcaya,6,1,2025-03-02
Vizcaya,7,1,2025-03-03
Zamora,1,0,2025-02-26
Zamora,2,0,2025-02-27
Zamora,3,1,2025-02-28
Zamora,4,1,2025-03-01
Zamora,5,1,2025-03-02
Zamora,6,1,2025-03-03
Zamora,7,0,2025-03-04
Zaragoza,1,0,2025-02-26
Zaragoza,2,0,2025-02-27
Zaragoza,3,1,2025-02-28
Zaragoza,4,1,2025-03-01
Zaragoza,5,0,2025-03-02
Zaragoza,6,0,2025-03-03
Zaragoza,7,0,2025-03-04
Álava,1,0,2025-02-26
Álava,2,0,2025-02-27
Álava,3,1,2025-02-28
Álava,4,1,2025-03-01
Álava,5,0,2025-03-02
Álava,6,0,2025-03-03
Álava,7,1,2025-03-04
Ávila,1,1,2025-02-25
Ávila,2,1,2025-02-26
Ávila,3,1,2025-02-27
Ávila,4,0,2025-02-28
Ávila,5,0,2025-03-01
Ávila,6,0,2025-03-02
Ávila,7,1,2025-03-03
